"Situação","Macroprocesso","Tipo documental","id","AÇÃO"
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Padrão de rastreabilidade do potencial e da produção base de poços produtores","10551"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Padrão de suporte dos processos de gestão de produtos químicos para produção de petróleo","10556"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Padrão de monitoramento da pressão de shut-in nos poços produtores de óleo","10564"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Padrão de gestão de produtos químicos para produção de petróleo","10568"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Padrão de tratamento de anomalias para perda de produção, elevação e escoamento","10570"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de elevação e escoamento de projeto básico","10575"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de estudo de escoamento e elevação artificial","10577"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de teste de bombeio centrífugo submerso submarino","10623"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Relatório de acompanhamento de teste de aceitação de fábrica de equipamentos","10624"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Plano de capacitação dos profissionais de elevação e escoamento, processamento e impulsionamento","10630"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Gráfico de rastreabilidade da produção de poços","10635"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Gráfico de simulação de elevação e escoamento","10646"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Estudos de acompanhamento de Modelagem de reservatórios em geofísica, geologia (G&G) e simulação de fluxo","11030"," "
"ANÁLISE DE AVALIAÇÃO","Gerir Reservatórios","Estudos de caracterização de Modelagem de reservatórios em geofísica, geologia (G&G) e simulação de fluxo.","11031"," "
